num,announcementTitle,announcementTitle_a,adjunctUrl,secCode,announcementTime,adjunctSize,adjunctType
770,顺鑫农业：拟转让持有的北京顺鑫石门农产品批发市场有限责任公司股权项目资产评估说明,770顺鑫农业拟转让持有的北京顺鑫石门农产品批发市场有限责任公司股权项目资产评估说明,http://www.cninfo.com.cn/finalpage/2016-11-12/1202826168.PDF,code:000860,2016/11/12 0:00,1213,PDF
771,四川路桥：四川路桥矿业投资开发有限公司拟收购股权涉及的Asmara矿业股份公司60%股东权益价值资产评估说明,771四川路桥四川路桥矿业投资开发有限公司拟收购股权涉及的Asmara矿业股份公司60股东权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2016-10-19/1202767746.PDF,code:600039,2016/10/19 0:00,1594,PDF
772,华峰超纤：北京中企华资产评估有限责任公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易申请文件一次反馈意见之回复说明,772华峰超纤北京中企华资产评估有限责任公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易申请文件一次反馈意见之回复说明,http://www.cninfo.com.cn/finalpage/2017-03-03/1203126463.PDF,code:300180,2017/3/3 0:00,745,PDF
773,*ST江泉：山东正源和信资产评估有限公司关于《山东江泉实业股份有限公司重大资产置换、发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函》的回复说明,773ST江泉山东正源和信资产评估有限公司关于山东江泉实业股份有限公司重大资产置换发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函的回复说明,http://www.cninfo.com.cn/finalpage/2016-08-25/1202614615.PDF,code:600212,2016/8/25 0:00,240,PDF
774,世纪华通：北京中企华资产评估有限责任公司关于公司发行股份及支付现金购买DianDian Interactive Holding股权并募集配套资金暨关联交易之补充资产评估专项说明,774世纪华通北京中企华资产评估有限责任公司关于公司发行股份及支付现金购买DianDianInteractiveHolding股权并募集配套资金暨关联交易之补充资产评估专项说明,http://www.cninfo.com.cn/finalpage/2017-01-11/1203005552.PDF,code:002602,2017/1/11 0:00,267,PDF
775,太极股份：拟发行股份及支付现金购买资产并募集配套资金所涉及的北京量子伟业信息技术股份有限公司股东全部权益评估项目资产评估说明,775太极股份拟发行股份及支付现金购买资产并募集配套资金所涉及的北京量子伟业信息技术股份有限公司股东全部权益评估项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-01-10/1203001106.PDF,code:002368,2017/1/10 0:00,1842,PDF
776,普利特：中联资产评估集团有限公司关于公司收购WPR公司2015年度未实现评估报告中利润预测数的情况说明,776普利特中联资产评估集团有限公司关于公司收购WPR公司2015年度未实现评估报告中利润预测数的情况说明,http://www.cninfo.com.cn/finalpage/2016-03-26/1202085253.PDF,code:002324,2016/3/26 0:00,211,PDF
777,瓦 轴 Ｂ：关于瓦房店轴承集团有限责任公司资产置换涉及的土地资产价格评估使用说明,777瓦轴Ｂ关于瓦房店轴承集团有限责任公司资产置换涉及的土地资产价格评估使用说明,http://www.cninfo.com.cn/finalpage/2006-08-29/18148405.PDF,code:200706,2006/8/29 6:55,97,PDF
778,丰原药业：拟股权收购所涉及的淮南泰复制药有限公司股东全部权益价值评估项目资产评估说明,778丰原药业拟股权收购所涉及的淮南泰复制药有限公司股东全部权益价值评估项目资产评估说明,http://www.cninfo.com.cn/finalpage/2016-03-11/1202037219.PDF,code:000153,2016/3/11 0:00,2173,PDF
779,冀中能源：拟以相关资产及负债对价支付华北制药股权部分价款项目资产评估说明（显德汪）,779冀中能源拟以相关资产及负债对价支付华北制药股权部分价款项目资产评估说明显德汪,http://www.cninfo.com.cn/finalpage/2016-11-19/1202835542.PDF,code:000937,2016/11/19 0:00,1121,PDF
780,宏达矿业：上海中技投资控股股份有限公司拟收购股权所涉及的上海宏投网络科技有限公司股东全部权益价值资产评估说明,780宏达矿业上海中技投资控股股份有限公司拟收购股权所涉及的上海宏投网络科技有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2016-09-13/1202695487.PDF,code:600532,2016/9/13 0:00,1907,PDF
781,*ST江泉：山东正源和信资产评估有限公司关于《山东江泉实业股份有限公司重大资产置换、发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函》的回复说明,781ST江泉山东正源和信资产评估有限公司关于山东江泉实业股份有限公司重大资产置换发行股份及支付现金购买资产并募集配套资金暨关联交易预案的信息披露问询函的回复说明,http://www.cninfo.com.cn/finalpage/2016-08-25/1202614615.PDF,code:600212,2016/8/25 0:00,240,PDF
782,深大通：拟收购股权涉及的浙江视科文化传播有限公司股东全部权益价值评估项目资产评估说明,782深大通拟收购股权涉及的浙江视科文化传播有限公司股东全部权益价值评估项目资产评估说明,http://www.cninfo.com.cn/finalpage/2015-12-19/1201846023.PDF,code:000038,2015/12/19 0:00,18432,PDF
783,瓦 轴 Ｂ：关于瓦房店轴承集团有限责任公司资产置换涉及的土地资产价格评估使用说明,783瓦轴Ｂ关于瓦房店轴承集团有限责任公司资产置换涉及的土地资产价格评估使用说明,http://www.cninfo.com.cn/finalpage/2006-08-29/18148405.PDF,code:200706,2006/8/29 6:55,97,PDF
784,[临时公告]倚天股份:关于平江县盛盈云母有限公司2016年盈利未达到资产评估报告预测金额的说明及致歉公告,784临时公告倚天股份关于平江县盛盈云母有限公司2016年盈利未达到资产评估报告预测金额的说明及致歉公告,http://www.cninfo.com.cn/finalpage/2017-05-15/1203522125.PDF,code:430301,2017/5/15 0:00,232,PDF
785,蓝色光标：中通诚资产评估有限公司关于西藏山南东方博杰广告有限公司盈利预测未实现的情况说明及致歉信,785蓝色光标中通诚资产评估有限公司关于西藏山南东方博杰广告有限公司盈利预测未实现的情况说明及致歉信,http://www.cninfo.com.cn/finalpage/2017-05-11/1203508314.PDF,code:300058,2017/5/11 20:22,280,PDF
786,神农基因：北京北方亚事资产评估事务所（特殊普通合伙）关于公司重组的专项说明,786神农基因北京北方亚事资产评估事务所特殊普通合伙关于公司重组的专项说明,http://www.cninfo.com.cn/finalpage/2016-05-12/1202317225.PDF,code:300189,2016/5/12 0:00,440,PDF
787,奥维通信：拟发行股份及支付现金购买上海雪鲤鱼计算机科技有限公司100%股权项目资产评估说明,787奥维通信拟发行股份及支付现金购买上海雪鲤鱼计算机科技有限公司100股权项目资产评估说明,http://www.cninfo.com.cn/finalpage/2016-05-12/1202316652.PDF,code:002231,2016/5/12 0:00,4843,PDF
788,安泰科技：河冶科技股份有限公司股权收购项目河冶科技股份有限公司股东全部权益价值资产评估说明,788安泰科技河冶科技股份有限公司股权收购项目河冶科技股份有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2017-05-11/1203491864.PDF,code:000969,2017/5/11 0:00,1563,PDF
789,安泰科技：河冶科技股份有限公司股权转让项目河冶埃赫曼合金材料（天津）有限公司股东全部权益价值资产评估说明,789安泰科技河冶科技股份有限公司股权转让项目河冶埃赫曼合金材料天津有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2017-05-11/1203491862.PDF,code:000969,2017/5/11 0:00,990,PDF
790,台海核电：北京中同华资产评估有限公司关于公司2015年度未实现业绩承诺的说明及致歉,790台海核电北京中同华资产评估有限公司关于公司2015年度未实现业绩承诺的说明及致歉,http://www.cninfo.com.cn/finalpage/2016-04-30/1202283470.PDF,code:002366,2016/4/30 0:00,277,PDF
791,奥维通信：拟发行股份及支付现金购买上海雪鲤鱼计算机科技有限公司100%股权项目资产评估说明,791奥维通信拟发行股份及支付现金购买上海雪鲤鱼计算机科技有限公司100股权项目资产评估说明,http://www.cninfo.com.cn/finalpage/2016-05-12/1202316652.PDF,code:002231,2016/5/12 0:00,4843,PDF
792,安泰科技：河冶科技股份有限公司股权收购项目河冶科技股份有限公司股东全部权益价值资产评估说明,792安泰科技河冶科技股份有限公司股权收购项目河冶科技股份有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2017-05-11/1203491864.PDF,code:000969,2017/5/11 0:00,1563,PDF
793,安泰科技：河冶科技股份有限公司股权转让项目河冶埃赫曼合金材料（天津）有限公司股东全部权益价值资产评估说明,793安泰科技河冶科技股份有限公司股权转让项目河冶埃赫曼合金材料天津有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2017-05-11/1203491862.PDF,code:000969,2017/5/11 0:00,990,PDF
794,台海核电：北京中同华资产评估有限公司关于公司2015年度未实现业绩承诺的说明及致歉,794台海核电北京中同华资产评估有限公司关于公司2015年度未实现业绩承诺的说明及致歉,http://www.cninfo.com.cn/finalpage/2016-04-30/1202283470.PDF,code:002366,2016/4/30 0:00,277,PDF
795,振华科技：深圳市振华微电子有限公司拟向中国电子信息产业集团有限公司转让应收账款而涉及的指定债权资产评估说明,795振华科技深圳市振华微电子有限公司拟向中国电子信息产业集团有限公司转让应收账款而涉及的指定债权资产评估说明,http://www.cninfo.com.cn/finalpage/2016-07-28/1202511297.PDF,code:000733,2016/7/28 0:00,314,PDF
796,振华科技：深圳振华富电子有限公司拟向中国电子信息产业集团有限公司转让应收账款而涉及的指定债权资产评估说明,796振华科技深圳振华富电子有限公司拟向中国电子信息产业集团有限公司转让应收账款而涉及的指定债权资产评估说明,http://www.cninfo.com.cn/finalpage/2016-07-28/1202511294.PDF,code:000733,2016/7/28 0:00,348,PDF
797,文化长城：关于对公司发行股份及支付现金购买资产并募集配套资金暨关联交易项目反馈意见涉及评估事项的补充说明（一）,797文化长城关于对公司发行股份及支付现金购买资产并募集配套资金暨关联交易项目反馈意见涉及评估事项的补充说明一,http://www.cninfo.com.cn/finalpage/2016-07-19/1202488983.PDF,code:300089,2016/7/19 16:33,704,PDF
798,蓝色光标：关于公司商誉减值测试涉及的西藏山南东方博杰广告有限公司资产组价值评估情况说明,798蓝色光标关于公司商誉减值测试涉及的西藏山南东方博杰广告有限公司资产组价值评估情况说明,http://www.cninfo.com.cn/finalpage/2016-04-14/1202175155.PDF,code:300058,2016/4/14 0:00,316,PDF
799,海润光伏：拟收购源源水务（中国）有限公司股权事宜涉及的该公司股东全部权益价值项目资产评估说明,799海润光伏拟收购源源水务中国有限公司股权事宜涉及的该公司股东全部权益价值项目资产评估说明,http://www.cninfo.com.cn/finalpage/2016-07-16/1202478423.PDF,code:600401,2016/7/16 0:00,14913,PDF
800,[临时公告]圣才教育:关于重大资产重组2016年盈利未达到资产评估报告预测金额的说明及致歉公告,800临时公告圣才教育关于重大资产重组2016年盈利未达到资产评估报告预测金额的说明及致歉公告,http://www.cninfo.com.cn/finalpage/2017-05-04/1203480956.PDF,code:831611,2017/5/4 0:00,177,PDF
