aid,view,danmaku,reply,favorite,coin,share
366,2445,63,42,13,2,3
367,2976,35,94,36,6,8
380,47412,1673,140,470,34,12
369,2471,22,57,44,4,7
371,10756,274,21,117,16,9
376,21922,2592,85,168,14,5
377,3080,139,21,33,4,2
375,5854,82,17,54,3,1
379,14327,1045,50,54,2,2
495,276691,2179,1861,10974,781,109
497,9334,1108,109,129,5,4
503,2731,163,27,26,3,1
499,3048,103,31,15,3,2
502,3671,17,61,41,4,3
507,4430,158,25,35,10,3
505,8103,345,71,128,11,11
498,40919,360,88,473,32,3
496,3107,46,29,29,3,2
506,3016,64,28,38,5,3
516,9865,103,66,125,22,2
508,--,5106,1168,4414,152,326
509,466,76,25,23,1,4
523,3070,42,36,21,5,3
511,5542,110,43,18,4,2
521,12710,292,276,124,13,9
519,595,13,13,16,2,2
513,1948,16,26,37,2,4
512,7566,86,79,92,6,5
527,442,86,37,23,7,3
518,1424,9,29,14,3,2
520,39582,635,855,422,47,14
517,6901,1326,51,32,4,4
533,5354,199,31,13,4,1
535,3454,88,59,123,19,5
522,1831,13,21,6,3,1
531,2156,26,30,40,3,2
536,8513,506,45,53,2,3
526,7672,175,58,119,12,5
530,5947,478,49,63,13,5
525,2685,28,40,28,4,1
537,2377,77,26,16,3,9
540,22197,912,134,768,62,14
541,1324,21,14,10,2,1
534,1939,22,35,45,4,6
528,3549,20,34,35,11,6
532,1947,20,24,24,2,3
539,253,169,27,15,2,5
544,2430,55,33,42,3,1
551,2677,29,14,37,2,5
550,11016,182,133,543,59,13
549,5531,74,35,140,17,17
552,--,947,25,86,2,5
559,2097,67,32,15,3,7
554,10904,319,53,230,15,10
553,4726,2088,171,965,115,27
543,14395,51,114,53,13,2
560,2516,39,22,22,4,2
556,2394,25,27,31,2,5
565,3447,58,32,41,4,9
566,1703,55,40,97,18,10
557,4787,268,40,33,2,4
561,7847,231,31,38,6,3
572,105744,2371,137,706,58,60
567,4165,81,40,19,11,8
577,1779,150,17,16,4,0
563,2125,36,23,10,2,0
571,17685,810,47,432,26,9
575,4392,119,42,49,6,4
576,8649,82,26,88,7,6
580,4087,70,30,85,9,5
582,5300,546,22,30,7,2
585,2074,147,20,12,4,5
583,26425,1725,180,676,123,41
578,11951,815,81,197,16,11
581,369,68,24,11,3,4
593,1441,18,13,8,4,4
586,89797,4389,93,2215,50,25
599,398581,41822,847,7391,269,82
596,6919,639,25,27,5,2
595,2148,46,19,10,4,1
597,3515,306,14,12,2,0
605,32973,1319,55,269,20,12
612,17959,579,47,492,36,8
603,5043,162,65,89,8,3
598,3406,213,33,75,10,4
606,3107,87,22,68,8,2
610,6352,556,68,100,10,6
618,4989,60,72,37,8,5
617,2773,10,17,5,21,4
614,4236,305,34,39,6,5
625,2023,18,20,9,4,6
633,6129,968,8,25,7,4
620,4968,136,21,40,17,2
635,4235,583,29,14,4,0
638,9071,368,47,220,13,6
624,9282,40,38,24,7,4
623,3721,29,31,36,17,0
640,1588,16,14,9,4,4
631,2444,39,11,4,19,2
645,1586,22,12,4,4,3
632,2803,89,13,17,11,3
642,6427,287,22,102,5,6
644,--,257,32,16,5,1
637,202607,2233,1719,7012,572,154
641,1388,31,22,18,3,1
653,1521,51,14,9,3,0
656,6922,67,9,46,13,5
646,1932,95,21,21,4,1
650,4220,69,19,20,6,4
659,1041,9,14,6,5,2
657,2881,2,7,5,2,3
649,1983,34,11,14,5,7
651,1730,53,11,25,8,3
655,4787,256,18,33,5,2
648,1108,21,14,5,4,1
664,8437,340,60,159,16,3
661,35373,577,210,1135,101,43
665,7261,310,35,73,10,4
654,8735,160,30,110,18,12
662,79540,1684,579,3910,301,230
663,5699,171,18,30,17,3
666,240112,7529,3197,3853,296,319
660,31204,4402,96,667,39,6
668,185091,502,131,953,37,19
676,2947,159,13,17,5,2
671,2460,126,11,7,4,1
667,5661,13,27,97,19,6
681,1992,19,10,3,4,3
670,2038,110,22,19,3,3
669,1996,3,13,6,7,1
674,800,1,7,4,4,5
672,1471,30,13,21,7,1
687,7509,35,11,15,174,2
675,7330,110,14,54,7,6
680,2601,104,23,34,4,3
690,17753,2663,86,119,5,1
685,5816,150,6,9,174,0
686,10370,17,20,13,54,8
696,3151,111,30,95,15,0
698,7266,19,10,16,23,3
694,1492,28,8,4,4,3
697,13209,442,72,66,26,8
688,10938,11,14,17,33,1
700,2779,23,36,25,5,3
693,8758,691,39,52,7,3
707,2160,217,18,12,4,2
704,4050,97,29,54,6,1
705,9092,143,435,205,74,46
699,2798,83,31,46,26,6
695,4115,98,17,49,5,8
709,4433,13,30,21,12,1
712,1324,13,28,13,4,6
718,12216,129,22,58,26,5
706,1986393,9193,32252,122171,20772,8720
715,2436,33,48,32,6,5
719,1658,301,22,12,4,4
723,2737,39,18,24,11,6
725,6242,447,25,42,3,8
720,15158,469,75,112,4,5
732,378,447,57,79,10,6
726,7691,59,14,62,6,5
731,39870,2890,145,1282,54,23
721,2992,48,23,23,4,3
729,4108,13,24,10,37,4
730,3530,54,10,6,2,3
727,4041,43,13,5,17,3
728,3591,182,22,7,15,4
742,5368,375,24,19,2,6
736,2084,56,16,25,7,4
740,3434,39,21,5,2,3
739,1089,2,5,3,3,2
744,2087,3,13,5,2,3
738,15983,87,109,674,68,39
734,3151,70,7,18,5,4
746,119,2,10,6,3,4
743,1171,4,6,2,2,4
749,1725,46,10,4,5,2
757,1394,15,11,2,5,6
754,1399,108,12,5,2,5
753,3795,71,17,4,2,3
748,7613,70,58,26,4,7
760,17321,631,42,439,10,3
758,711,19,21,50,8,6
751,49242,1594,108,415,21,10
764,1941,40,16,37,3,3
765,2143,70,8,4,3,3
756,1661,67,9,2,3,4
769,3078,73,12,5,4,6
766,11191,324,37,194,12,3
761,33196,3082,101,142,4,2
767,--,81,19,52,2,1
763,1575,12,8,8,1,4
762,1739,31,10,16,3,3
775,1616,56,10,4,2,4
772,1155,9,7,3,2,5
778,334387,8408,1296,1237,267,188
776,23340,602,66,520,29,15
783,293866,7105,652,3263,258,206
784,101005,13215,291,3181,231,28
774,1700,95,20,22,4,3
788,20134,583,133,195,18,9
790,4058,42,28,33,3,4
786,284,120,7,14,3,3
780,2958,49,23,14,5,2
781,39537,1076,90,321,35,21
782,11690,53,13,145,21,10
792,3886,28,12,8,1,8
793,2788,748,22,6,2,1
798,1672,2,8,2,2,2
805,1426,91,11,2,2,1
806,853,5,14,1,2,1
791,2826,58,7,5,4,2
796,1627,63,11,1,2,4
799,77042,2441,249,3952,412,76
802,1143,14,10,3,2,2
800,3244,185,37,16,4,6
803,5379,65,52,25,3,2
801,3663,80,48,16,4,4
804,3618,85,33,66,7,8
812,2042,18,16,4,3,3
819,2299,11,24,8,18,1
814,1969,11,13,9,9,3
815,4258,72,15,11,21,0
807,1649,42,12,1,3,0
820,15152,50,30,19,15,2
811,1680,94,13,2,2,6
816,542296,15973,3316,12796,2359,609
824,1249,8,14,12,2,4
822,1625,65,17,20,2,1
817,4184,227,162,38,5,5
821,10836,899,57,129,26,3
823,1368,21,20,11,4,5
825,7589,462,37,30,2,3
832,2566,77,29,10,1,4
834,11335,39,13,23,1,4
839,3354,9,6,4,1,1
829,5128,224,29,21,7,2
831,2712,55,26,17,4,0
836,15988,202,47,13,361,2
838,1346,39,5,12,2,1
833,1181,12,9,3,1,0
842,94391,990,306,2136,344,209
837,3012,37,7,18,1,0
840,4191,162,25,50,1,2
847,1194,22,16,16,4,2
841,868,11,6,5,3,1
849,2578,299,30,48,10,4
855,2229,8,6,2,9,1
843,4539,22,9,17,21,1
851,914,20,7,1,2,0
848,78444,6116,571,2677,183,63
858,2882,64,8,7,26,6
853,378164,11441,2214,12766,1821,803
850,2230,94,10,65,3,3
852,2330,8,19,6,3,3
859,2453,21,6,30,3,2
857,3548,13,4,1,47,0
854,5031,73,12,20,3,4
856,6816,48,11,9,7,2
867,2933,27,18,34,31,8
865,1283,13,11,7,3,2
874,--,68,11,6,21,1
860,9241,325,25,39,6,6
870,94104,12495,229,2447,73,19
868,4372,109,7,3,15,0
869,10955,200,43,103,20,11
866,9159,301,29,126,20,2
876,2759,112,23,96,8,11
881,6788,282,29,61,3,2
882,1386,41,13,2,1,0
878,248218,9496,277,1093,108,71
880,888,18,8,7,2,2
888,28392,446,179,287,20,21
885,1141,21,13,27,2,1
886,2372,36,67,19,5,4
894,4820,2,28,7,1,5
896,3973,36,22,19,1,5
883,7741,297,27,44,7,3
897,73622,3165,652,2724,441,45
893,45206,1749,375,1067,116,27
884,1174,6,18,12,4,3
890,1434,20,12,10,2,5
892,892,15,10,5,2,1
891,2251,95,19,32,2,3
899,7109,206,30,94,13,6
900,4868,39,25,13,11,5
898,2322,27,8,16,3,4
905,2067,52,13,5,3,4
904,4307,197,17,8,2,0
901,19190,26,157,56,73,4
911,36636,298,235,154,17,11
912,4415,70,44,17,2,5
917,4373,561,6,5,3,1
918,9857,856,75,29,10,3
909,19606,9,10,37,4,1
921,1635,18,20,6,3,2
908,1183,19,18,3,2,3
922,5140,38,21,35,3,3
923,4241,532,16,10,1,0
928,1491,4,26,16,2,1
916,2502,24,19,10,5,0
926,3483,52,20,41,2,2
925,4016,17,34,77,4,6
971,--,39,30,34,40,5
974,2855,118,24,9,1,0
968,35689,1378,275,968,201,49
972,3298,41,14,12,25,6
975,8500,145,44,90,13,4
977,4788,50,12,58,20,4
979,2667,104,15,5,6,4
978,2299,28,6,10,5,1
973,2306,26,12,5,25,2
982,1538,40,20,8,12,1
980,4932,245,39,24,4,2
983,1896,98,22,20,5,2
976,1766,42,7,8,1,4
989,16037,46,55,72,6,9
986,5354,156,25,59,12,4
984,13223,17,4,32,3,3
991,6232,172,57,60,6,1
981,1625,6,21,11,6,2
993,2854,20,25,5,2,4
992,2944,45,18,37,5,1
995,12458,140,56,292,35,12
996,1060,75,7,2,2,6
990,2272,27,30,14,4,3
1001,7766,65,100,26,5,8
1002,41661,2336,135,1895,125,98
999,32058,744,285,252,31,4
1013,56716,1225,188,706,81,63
1018,1532,18,21,9,29,5
1017,1885,79,33,21,2,5
1019,1893,81,35,46,5,8
1023,1467,9,13,6,7,0
1020,7141,40,13,18,2,6
1015,2930,111,35,33,12,2
1016,4029,83,34,25,5,2
1029,17083,445,74,110,16,18
1031,4412,2,21,39,2,0
1027,2762,13,14,12,3,1
1022,4343,33,30,49,4,3
1026,13568,148,37,190,9,28
1030,25585,544,65,284,9,15
1034,13489,633,47,167,16,9
