aid,view,danmaku,reply,favorite,coin,share
1586,22639,809,8,469,187,2
1591,--,677,51,114,0,3
1600,3224,72,6,24,33,2
1597,1004,7,6,6,4,3
1608,3151,643,29,57,7,4
1601,7776,315,30,33,3,14
1605,--,564,254,1060,144,55
1610,--,1188,185,341,45,41
1603,16928,605,135,335,42,5
1611,664,9,13,11,1,2
1612,313764,8007,2415,5275,1550,261
1616,--,68,14,5,1,4
1617,74538,1427,221,2804,924,102
1619,5696,360,50,158,8,3
1613,941,10,5,1,3,2
1618,3761,120,13,23,3,4
1615,910,86,7,1,1,1
1629,4177,104,22,39,2,1
1628,697,1,4,3,1,1
1627,--,46,17,50,0,3
1632,30677,511,14,51,20,5
1634,657,4,7,5,2,0
1621,--,120,26,35,18,3
1623,845,3,6,22,4,1
1639,125852,2863,296,424,56,16
1624,5273,67,15,10,48,1
1630,1437,114,9,3,7,3
1631,2596,99,3,5,4,1
1644,3123,9,30,48,7,2
1641,154492,5968,93,143,108,19
1633,3716,330,13,7,6,0
1652,4314,4,12,45,6,9
1656,6316,2,13,16,81,2
1646,1568,1,16,18,1,2
1654,--,2,11,28,1,3
1648,4585,1,9,72,9,3
1650,7623,10,5,5,88,1
1653,2539,1,15,3,5,5
1658,5133,291,16,38,5,0
1651,--,91,20,11,8,1
1657,1585,14,12,16,4,0
1649,7194,2,3,9,11,2
1665,739,1,5,4,8,2
1659,10043,3,19,42,11,1
1660,15532,6,18,61,67,2
1680,851,4,5,1,1,1
1675,--,171,20,240,14,5
1669,1674,59,12,11,1,2
1674,2771,2,45,22,3,1
1676,1706,3,32,6,2,1
1677,813,16,5,3,1,1
1683,2072,4,4,10,11,0
1670,16280,69,106,1092,56,39
1690,839,60,8,8,1,4
1684,2295,54,14,64,15,4
1682,4375,49,5,21,24,4
1679,7929,14,24,19,16,2
1694,601,7,2,3,1,1
1695,11550,1316,97,180,6,0
1693,1148,22,12,10,2,3
1686,7468,143,5,124,5,12
1692,592,5,4,7,2,2
1689,7115,35,6,27,372,8
1687,727,10,7,5,1,5
1688,1046,18,14,18,3,2
1707,93182,1106,81,779,67,19
1703,1073,68,12,37,6,5
1699,148919,2332,135,1281,725,57
1696,1389,72,13,40,4,0
1704,1188,10,8,7,59,3
1702,31802,845,71,580,42,27
1710,8765,178,36,36,11,7
1709,6198,118,23,16,1,4
1706,969,13,8,4,10,3
1705,3190,370,31,77,3,4
1712,991,43,3,16,4,2
1711,1107,50,7,6,1,2
1722,10084,215,70,130,6,5
1717,--,31,21,19,2,4
1716,586,17,4,7,1,2
1726,2944,265,26,2,1,4
1731,994,58,7,6,2,2
1719,25070,1067,28,115,4,3
1740,11390,157,20,125,11,1
1730,886,15,7,4,1,4
1732,2518,38,21,17,23,1
1737,1811,29,9,20,3,3
1739,3509,149,26,30,2,0
1735,--,20,5,16,4,3
1742,891,75,13,1,1,1
1747,1021,25,20,14,2,6
1744,1305,41,23,10,2,6
1749,--,13,25,15,2,3
1752,5138,160,17,5,8,4
1745,7270,350,43,54,8,18
1748,1245,19,16,11,1,4
1756,--,2188,614,1538,204,110
1759,754,24,2,2,7,2
1758,2175,107,37,15,6,4
1753,3252,84,21,14,8,2
1750,20868,1143,50,369,11,9
1766,7195,51,89,380,23,12
1764,2386,192,6,4,1,1
1772,47911,1026,133,636,56,36
1763,1171,24,12,4,4,1
1769,57427,809,576,795,224,65
1775,--,1255,111,534,5,6
1780,1348,69,7,2,1,1
1779,938,45,9,2,1,3
1771,6533,240,63,47,15,3
1778,910,44,12,4,1,1
1784,2074,50,10,16,1,3
1774,2686,99,4,1,0,3
1781,796,39,13,7,1,2
1792,8090,70,24,52,4,1
1777,1262,6,7,10,3,1
1783,1743,25,6,11,2,4
1785,7309,238,43,178,7,2
1787,--,78,50,37,4,5
1782,3693,1047,17,28,2,10
1795,--,301,49,257,17,16
1786,10897,332,22,196,10,7
1794,3049,50,8,20,7,4
1791,1814,31,5,0,3,4
1801,4354,106,34,12,2,0
1788,4896,105,22,20,4,4
1789,7633,25,28,19,5,4
1802,729,75,9,8,2,1
1799,104820,1882,836,2456,557,131
1804,2299,141,14,4,1,1
1798,126192,12695,244,2487,75,8
1800,3023,29,21,13,1,1
1806,1441,17,13,13,1,2
1797,883,15,4,6,2,2
1809,1279,31,19,4,1,2
1810,7942,227,33,73,13,19
1819,996,16,3,3,2,1
1815,2437,166,28,2,1,5
1825,1343,20,8,6,1,2
1811,2570,149,35,10,1,3
1820,3966,489,22,4,1,4
1827,5102,18,31,85,9,8
1834,128141,2280,332,1642,152,452
1833,1228,36,6,17,3,2
1829,6574,224,40,153,18,5
1830,5152,312,21,78,3,1
1840,1160,29,17,8,1,1
1838,6464,374,31,14,2,3
1846,5421,117,15,72,4,1
1832,2838,80,23,22,2,1
1841,1405,40,9,11,3,4
1836,825,1,15,4,3,5
1842,3248,133,21,26,1,1
1848,36039,0,332,133,29,5
1851,--,438,157,258,54,100
1844,4982,91,27,160,6,3
1839,1522,17,15,8,3,2
1850,2964,30,15,16,4,5
1852,1770,66,18,5,1,3
1855,32008,453,85,1608,83,67
1849,6303,382,68,56,9,3
1843,5244,133,37,48,3,2
1862,1639,10,7,13,1,3
1853,1858,95,11,8,3,0
1860,3974,92,28,29,2,4
1856,1485,5,5,10,6,5
1863,1322,4,2,2,3,3
1865,1223,27,2,14,2,2
1857,5329,194,25,25,8,0
1868,3062,131,30,79,5,2
1871,681,42,8,3,1,0
1869,2246,16,4,5,18,3
1877,797,8,5,7,2,2
1864,47417,738,115,1029,84,589
1872,2410,54,8,51,3,3
1866,1362,25,10,2,1,2
1878,7315,394,38,16,4,3
1873,2166,42,16,18,2,3
1880,1252,44,8,2,1,2
1883,1010,43,14,4,1,3
1893,1580,55,24,7,1,3
1885,1059,12,5,4,1,2
1879,120309,4031,1893,4228,312,131
1884,8021,302,32,123,20,7
1887,2524,109,5,14,7,1
1890,95105,7121,86,2635,59,28
1892,3374,91,2,12,1,0
1894,1649,2,8,1,1,4
1897,1473,6,4,2,1,3
1899,2440,51,18,11,1,3
1895,3377,161,21,14,1,2
1896,587,5,3,5,1,2
1898,--,408,73,116,3,2
1906,2104,2,7,6,1,0
1901,2206,323,28,113,14,1
1902,4020,28,7,2,7,5
1903,689,15,3,7,2,0
1905,2539,30,18,5,3,3
1912,1595,3,48,8,3,2
1913,1123,34,4,8,1,3
1917,2804,118,32,26,7,4
1915,1383,71,7,2,2,2
1926,9405,132,229,153,11,9
1929,2672,90,20,57,6,3
1918,1593,7,12,8,1,1
1914,961,6,13,8,3,3
1919,13737,337,147,204,13,3
1931,11042,106,26,9,1,3
1928,7349,125,20,140,10,3
1920,1856,46,16,5,1,0
1921,2327,104,29,18,2,3
1936,5879,175,18,42,1,2
1940,5038,31,8,5,1,1
1933,140626,2016,86,101,91,5
1938,1509,34,7,22,2,1
1944,15041,127,84,91,12,20
1935,8696,586,81,160,9,4
1949,4503,77,108,62,3,3
1937,4679,72,57,37,2,1
1934,808,7,6,6,2,1
1942,18993,124,24,31,4,4
1946,--,458,13,17,3,3
1945,29128,734,85,246,10,10
1952,1184,29,5,2,1,1
1950,1285,51,25,31,9,2
1961,337997,4117,1452,9047,1075,300
1951,988,6,6,3,1,3
1959,14074,945,22,72,2,1
1953,3218,146,30,20,1,4
1957,6343,99,14,130,8,6
1971,3929,84,19,7,1,1
1958,1946,51,16,11,2,0
1963,1215,5,3,6,2,1
1960,1054,28,10,12,2,3
1966,1838,13,35,10,1,1
1964,1707,65,16,4,3,2
1967,18183,422,25,43,5,14
1975,8626,325,65,85,9,4
1978,7986,160,45,72,2,4
1976,3180,24,24,12,2,1
1973,1720,8,12,2,1,2
1985,4624,25,12,16,1,4
1974,1631,32,8,14,4,5
1984,24649,102,118,211,9,4
1977,3087,36,10,27,5,5
1979,3537,144,35,8,1,5
1970,29814,657,37,385,42,98
1982,1596,10,14,1,1,1
1983,3850,72,20,8,6,3
1980,3148,103,24,9,1,1
1991,3196,83,50,20,2,2
1998,7647,63,91,52,6,2
1988,66402,453,171,617,84,101
1990,4636,76,28,9,5,0
1981,8165,116,19,132,8,15
2000,12055,20,119,62,5,5
1992,6357,60,10,17,1,4
1996,5805,65,64,49,5,1
2007,13166,426,59,356,36,3
1995,6296,49,30,22,4,0
1993,2289,47,16,11,2,4
2002,8818,91,127,100,4,0
1999,16411,92,102,33,6,4
1997,20251,256,60,31,8,3
2008,7284,60,59,20,3,3
2009,176392,187,104,70,4,3
2001,9947,104,83,92,10,2
2006,3133,30,36,5,1,2
2010,11054,211,20,10,2,4
2005,2819,15,71,11,3,5
2020,7244,169,109,197,9,3
2012,104091,94,107,110,22,7
2013,70503,612,144,828,33,14
2011,9824,31,19,23,4,4
2019,1883,25,65,3,4,0
2022,2134,25,52,10,1,3
2029,4870,285,30,35,4,1
2018,2749,39,298,18,8,6
2026,965,20,17,1,2,3
2033,37343,737,75,153,24,44
2030,1180,6,25,8,1,2
2024,750,19,28,1,1,3
2042,1094,30,4,5,2,1
2039,940,13,9,3,1,0
2041,5470,25,11,11,33,2
2031,1548,21,8,10,1,0
2040,5391,284,54,50,6,42
2035,5362,138,26,23,3,3
2038,26416,1181,107,139,26,4
2044,856,8,3,10,1,3
2048,9333,88,39,40,5,2
2054,3235,68,15,18,3,2
2043,2079,15,5,8,3,0
2061,2179,6,9,13,17,3
2051,3201,121,22,16,7,1
2046,68211,125,35,404,26,19
2049,3622,49,26,26,4,3
2052,2590,5,14,7,2,1
2065,21279,658,26,75,1,2
2053,--,60358,15698,100757,20632,13822
2055,2201,179,13,14,8,3
2056,1912,18,7,2,2,1
2068,79,29,8,12,2,1
2073,1116,55,1,3,3,1
2078,2016,56,17,23,3,4
2071,1429,77,15,3,1,1
2069,3663,202,38,28,6,0
2079,8798,303,96,161,7,3
2076,615,28,6,3,1,2
2075,60747,724,24,88,10,1
2072,2013,75,14,5,1,3
2080,1787,56,10,6,1,2
2089,833,172,13,6,2,5
2085,6348,714,84,35,3,7
2092,4821,157,28,20,2,2
2082,5175,101,14,19,4,3
2091,4636,439,53,37,10,9
2090,1081,34,9,0,1,3
2093,1876,102,12,11,2,0
2109,2370,8,18,26,2,2
2097,1261,41,12,0,1,2
2101,60818,2089,206,439,44,7
2094,16933,1569,79,122,2,4
2110,24177,714,54,342,36,4
2096,1323,37,18,14,4,3
2100,2731,50,38,5,1,2
2105,137,104,9,2,1,1
2108,1365,28,12,7,2,2
2114,13468,1068,38,95,8,6
2107,1358,21,5,1,2,2
2112,2934,138,10,14,2,1
2119,13599,1181,32,91,7,2
2111,3187,159,32,8,5,4
2113,2778,50,24,37,3,2
2120,1422,23,10,4,1,2
2126,3078,670,19,6,2,3
2129,1779,765,15,6,1,1
2117,3351,345,15,10,1,0
2128,2657,355,18,10,1,1
2123,1879,31,6,3,1,3
2135,780,6,5,1,1,1
2130,7342,66,15,90,10,2
2125,2526,62,12,15,1,0
2124,3831,259,12,2,1,1
2127,4331,140,10,21,4,2
2136,1728,34,10,13,1,0
2140,1696,1,12,13,1,4
2139,832,6,10,5,2,2
2137,3479,2,18,22,2,3
2132,61,20,7,4,1,5
2142,34998,450,515,767,26,22
2153,17599,316,27,160,4,4
2144,2299,199,22,6,6,1
2149,5189,832,41,26,2,0
2148,1435,25,5,11,9,10
2156,31,75,6,11,1,0
2143,1907,57,17,21,2,3
2154,791,6,2,0,1,3
2152,2043,17,8,9,3,1
2150,2657,135,13,15,2,2
2163,--,2432,175,205,7,8
2157,1703,52,13,27,1,1
2151,--,333,18,19,1,2
2169,23744,152,11,57,11,12
2168,1517,29,12,20,4,1
2158,755,47,7,11,2,0
2162,152996,2426,158,1000,38,20
2164,1945,103,15,1,1,2
2171,1099,13,7,5,1,0
2167,1628,15,8,1,1,0
2166,721,28,12,0,2,1
2172,1451,10,4,0,5,2
2175,1846,198,7,3,5,5
2176,499,8,4,1,5,2
2173,2110,69,10,2,1,4
2180,5049,380,18,3,1,0
2185,2462,127,21,22,2,7
2183,5529,436,26,12,3,3
2188,--,2,8,18,4,4
2191,6650,205,23,113,7,2
2196,3416,222,19,5,1,0
2181,3212,162,25,42,3,2
2186,--,65,11,26,5,3
2184,4286,103,11,64,3,1
2203,1160,22,9,4,2,5
2187,2791,30,9,31,12,3
2193,2397,23,9,2,5,4
2202,1106,73,18,4,1,3
2204,11815,221,64,179,11,13
2209,829,80,10,15,2,4
2205,1418,11,5,4,2,0
2218,4487,345,18,16,1,0
2213,1125,61,10,1,1,2
2206,670,10,14,1,1,2
2219,5972,327,29,39,2,3
2217,1082,9,5,3,1,0
2212,2964,4,19,4,1,0
2228,2032,80,10,40,8,3
2224,3689,133,17,25,5,0
2216,1766,280,19,7,1,3
2215,5158,145,28,278,19,7
2232,754,6,5,5,4,3
2226,7196,557,37,42,10,3
2222,8919,222,87,132,10,4
2234,2601,80,47,77,22,11
2231,15492,267,22,189,6,3
2223,780,471,39,94,37,4
2230,1647,32,32,7,3,2
2227,1505,83,7,2,1,1
2237,1081,16,16,8,2,3
2242,578,28,7,6,2,1
2229,2206,40,6,8,5,3
2233,35358,169,534,322,27,10
2236,770,2,3,5,2,3
2244,3154,119,27,2,2,3
2243,2414,80,5,11,2,1
2235,701,6,3,9,3,2
2241,551,1,3,6,1,2
2245,1919,38,11,2,2,3
2238,969,25,4,0,5,1
2251,--,472,12,5,1,2
2240,135,27,9,7,1,6
2255,6261,218,27,34,5,3
2248,--,25,9,9,0,2
2246,14106,128,27,110,10,6
2253,--,88,25,14,0,1
2263,43723,2212,349,633,91,26
2247,748,27,7,4,2,3
2249,2557,51,12,21,2,3
2260,--,113,43,40,0,4
2257,2854,103,8,10,1,5
2259,162,34,11,22,1,3
2258,3703,173,22,171,14,6
2272,1194,16,2,1,6,2
2261,25564,1055,24,69,21,5
2267,1017,59,5,5,1,1
2270,2775,28,4,9,7,1
2269,30674,617,78,313,27,4
2266,2036,184,15,9,4,2
2277,2436,68,15,84,14,8
2268,13842,302,21,16,2,4
2274,1717,90,2,8,2,5
2278,6530,83,23,77,9,6
2273,85,18,2,2,3,2
2271,647,9,5,4,2,1
2281,513,2,3,5,2,3
2282,6838,26,23,8,4,2
2275,1181,83,6,3,3,2
2284,788,22,3,1,2,0
2279,1725,9,3,7,2,1
2280,2472,77,15,15,4,0
2283,--,295,89,57,9,2
2287,1544,59,5,8,2,2
2285,8473,399,74,174,5,9
2290,37694,3274,66,110,91,3
2288,22911,3478,31,82,15,2
2297,967,89,3,6,2,1
2293,1344,31,11,14,2,3
2303,52092,957,138,1543,64,5
2294,7468,186,13,66,5,3
2292,666,7,6,5,3,1
2308,1004,12,4,6,2,1
2296,1148,48,4,5,2,1
2305,2466,33,9,9,3,1
2295,35210,316,59,345,17,4
2301,2980,46,17,21,5,2
2300,14857,834,49,148,6,5
2307,944,33,14,34,3,7
2302,6869,100,26,75,10,3
2314,871,5,2,4,2,1
2306,133,37,8,6,3,2
2320,44305,2386,105,26,12,2
2309,555,4,4,6,2,1
2310,468,5,5,4,2,2
2315,1579,67,5,16,4,3
2318,12779,498,45,589,35,32
2312,5665,89,28,87,15,3
2313,174749,14445,2074,5735,515,105
2321,5050,157,8,46,8,8
2317,4891,195,21,81,5,4
2327,2892,69,6,34,9,0
2319,15039,314,70,540,30,5
2328,192,404,9,7,2,2
2330,824,28,2,7,1,1
2333,123211,1610,2011,1444,341,80
2329,9903,1079,28,30,1,5
2340,1144,5,3,147,2,2
2336,921,12,9,33,5,2
2334,978,22,6,7,2,2
2342,1435,41,4,3,3,0
2331,--,263,50,49,0,1
2332,1157934,73058,2795,9273,1942,1028
2335,766,101,4,20,3,2
2337,9669,15,6,6,40,3
2346,1357,135,9,10,1,3
2345,2756,855,237,880,51,11
2344,1286,300,15,2,2,3
2353,962,178,4,12,3,1
2348,60062,1003,145,572,63,23
2359,--,13,4,2,0,2
2350,8322,356,25,130,8,5
2351,1065,88,3,6,1,3
2349,1744,72,5,7,4,4
2368,1504,11,2,2,3,1
2373,1654,2218,52,520,16,3
2363,4985,109,16,15,7,4
2381,8391,574,11,8,3,3
2380,4729,28,3,19,7,9
2383,2803,60,8,66,6,4
2386,32125,301,146,1439,73,57
2384,17500,200,67,447,19,13
2388,2973,79,15,16,2,2
2393,6543,233,34,35,4,2
2399,8740,124,12,15,4,2
2382,2569,74,8,4,2,0
2398,8090,296,30,58,1,0
2397,307,15,10,21,6,5
2389,787,7,1,7,9,0
2402,3369,97,10,12,2,1
2396,1193,73,4,14,5,1
2395,4293,199,18,67,10,4
2403,2005,63,16,28,3,3
2405,6983,48,15,20,1,7
2411,1196,3,9,3,1,1
2400,3591,72,20,66,3,0
2409,1355,24,6,18,3,2
2410,3015,689,8,21,2,0
2419,1194,39,8,1,1,2
2408,1394,74,13,30,3,0
2412,20,105,14,3,2,4
2406,799,17,6,2,1,4
2415,2185,15,14,18,4,1
2417,2429,115,8,5,1,1
2418,2704,65,6,11,4,4
2423,1108,18,5,2,1,1
2416,14753,183,44,78,4,3
2421,767,4,6,1,1,1
2422,1020,6,1,3,2,1
2426,2144,55,5,4,3,3
2429,25379,232,35,443,47,38
2437,468,2,1,3,1,0
2425,8470,210,10,86,8,1
2438,1348,12,4,6,2,4
2434,1376,35,2,3,1,2
2431,286,195,24,20,4,4
2439,--,4861,589,2257,60,22
2436,2041,52,9,2,1,1
2432,2599,94,22,19,3,1
2442,640,57,4,3,2,1
2440,2283,20,4,10,4,3
2435,1738,57,9,21,5,4
2446,4496,298,56,43,4,0
2448,--,45,2,5,0,3
2447,--,33,2,17,1,6
2451,2420,134,19,10,1,2
2444,3297,148,17,34,3,2
2449,934,51,1,16,3,4
2450,12571,517,105,28,4,3
2462,539,1,4,1,1,2
2457,1663,124,13,19,1,3
2458,898,38,4,8,4,2
2468,4266,1494,211,98,13,5
2452,2394,365,4,14,5,5
2470,7223,257,66,237,27,5
2456,2323,223,11,47,4,0
2461,--,47,8,28,0,2
2469,3231,77,15,104,16,13
2471,856,12,8,0,1,2
2477,6076,265,30,94,10,3
2472,24195,525,127,555,33,10
2475,4640,136,27,23,2,5
2466,4155,82,14,61,1,2
2474,3322,89,13,5,3,0
2473,14364,1048,102,134,13,11
2476,748,15,3,3,1,1
2480,1439,236,39,26,4,0
2479,128644,4422,1169,3614,254,57
2483,159160,141,93,652,17,10
2487,1468,15,4,1,2,5
2497,1730,30,7,10,3,5
2499,9477,646,25,37,5,2
2481,926,36,14,2,1,2
2489,45260,2012,152,503,53,12
2503,10736,218,48,142,12,6
2496,10326,597,47,62,9,7
2488,695,6,3,4,1,1
2495,902,114,9,7,1,2
2494,1812,51,19,3,1,1
2502,2345,47,17,46,7,0
2501,7937,596,35,38,3,4
2517,24221,3100,99,324,15,2
2510,577,164,16,48,3,3
2516,5437,158,52,151,34,5
2507,1962,109,13,5,2,3
2515,768,64,10,1,3,3
2525,27932,1166,103,862,55,20
2513,845,104,5,4,2,5
2523,511,312,15,18,3,1
2526,2984,213,33,139,13,8
2527,8626,343,27,64,2,2
2530,6134,97,16,31,5,7
2520,7962,146,27,31,7,6
2522,1470,6,4,7,2,0
2518,1908,239,8,31,4,4
2534,647,17,5,4,2,0
2524,29791,889,328,749,113,4
2539,5875,214,18,4,77,1
2538,44628,4320,205,1861,99,51
2542,2376,23,7,1,38,2
2529,68716,2257,551,1440,160,55
2531,1160,86,14,4,2,2
2536,2198,8,0,3,2,4
2543,41700,53,2,18,465,3
2548,--,11,7,2,0,3
2552,5988,105,33,123,25,14
2541,2333,110,34,41,15,1
2546,21770,560,94,411,255,13
2544,1812,19,11,7,8,3
2545,1609,86,13,2,8,0
2553,2561,39,14,17,3,1
2551,8741,28,24,43,1,3
2554,1530,76,11,3,2,1
2557,216065,5643,3166,8467,481,451
2560,1430,314,5,4,3,1
2564,4436,85,23,52,13,0
2556,23230,482,95,163,22,7
2563,--,107,35,22,1,2
2569,2447,65,8,7,10,0
2565,1576,152,8,2,2,0
2581,7678,142,41,27,82,2
2568,2484,105,11,17,2,0
2577,3420,110,17,4,3,3
2574,7670,97,125,7,3,4
2572,9793,60,6,83,635,2
2570,1190,41,5,35,2,3
2579,651,5,5,4,5,2
2595,11574,658,23,22,158,5
2593,4041,0,24,12,9,2
2594,1228,43,11,5,3,1
2588,--,19,7,12,77,1
2604,3359,121,10,4,2,0
2600,4486,83,3,7,91,1
2606,3320,354,25,64,3,4
2601,41405,926,52,203,392,26
2608,1427,137,7,13,4,0
2599,522,4,5,1,3,4
2602,3464,328,17,59,14,6
2611,1907,243,16,2,3,3
2605,9636,407,40,138,29,3
2610,2240,69,10,1,26,1
2607,729,25,3,11,2,0
2624,102907,1831,221,1821,206,29
2613,3896,310,10,14,4,1
2616,159182,10073,212,1033,49,12
2621,565,7,6,1,5,2
2612,28584,1154,75,404,14,10
2625,6588,26,16,52,187,1
2617,113638,2457,40,93,88,14
2627,16675,724,21,369,105,5
2629,5171,0,35,19,4,1
2623,--,241,25,10,4,4
2626,899,35,4,3,3,0
2634,4707,122,20,62,13,6
2636,1119,33,8,9,2,2
2645,7842,815,20,27,19,1
2630,7412,295,16,111,15,9
2640,2691,102,13,3,2,3
2642,4969,22,6,448,11,6
2641,--,148,22,126,3,5
2637,4256,33,13,47,4,8
2644,55467,560,97,1472,126,35
2632,45627,1095,178,565,128,3
2648,126663,29284,276,1714,105,19
2649,2307,119,20,76,25,2
2660,17732,3,1,15,98,2
2655,1196,39,5,4,5,1
2654,3044,14,5,5,19,2
2651,1162,140,9,14,2,1
2653,20341,31,42,282,11,2
2659,2048,16,4,3,1,2
2656,1370,6,6,3,3,1
2664,91875,1481,311,1285,37,35
2661,14561,549,101,93,131,1
2658,93607,543,89,1560,53,9
2670,2736,278,20,15,3,1
2666,7424,67,22,41,4,5
2674,2259,36,8,3,5,0
2669,34766,3192,206,958,35,6
2687,5327,31,7,43,38,2
2671,1177,5,5,13,8,2
2676,5107,23,19,70,27,1
2680,8999,274,16,43,68,1
2683,4074,213,27,75,12,5
2684,3941,43,15,13,7,0
2685,12567,617,91,226,11,7
2686,993,27,4,9,2,2
2689,1533,9,5,1,4,2
2690,1060,35,7,17,7,2
2693,943,58,9,1,2,1
2701,3682,39,9,29,12,12
2691,4820,271,10,6,3,1
2688,8415,51,14,39,124,4
2696,2918,55,16,22,7,2
2697,--,209,27,6,2,2
2703,2587,71,5,11,6,3
2704,4521,414,17,8,4,2
2694,4458,290,10,23,4,1
2702,3708,100,21,110,3,4
2705,65652,2983,166,421,52,17
2695,1348,16,6,4,8,1
2709,6458,353,19,37,4,6
2711,2024,12,13,23,16,2
2699,1936,20,8,18,3,0
2708,1964,30,5,5,16,1
2700,4599,226,28,20,3,2
2715,16143,248,35,75,6,5
2713,1101,52,10,4,2,1
2712,1257,3,3,5,9,1
2720,8709,202,32,105,95,2
2719,11984,283,82,246,46,7
2706,2219,58,9,11,2,2
2721,5247,119,18,50,27,2
2722,20225,131,13,89,339,7
2707,66474,7247,132,177,34,3
2716,1567,117,7,3,2,1
2723,3915,88,25,20,2,3
2729,190859,4204,208,1909,181,19
2718,5063,107,23,42,49,1
2725,90135,74,9,143,1493,8
2717,1683,8,4,20,12,3
2728,32622,581,138,418,40,70
2727,2986,58,12,1,3,1
2741,14271,193,31,14,83,4
2731,7659,147,21,35,8,2
2743,21606,120,10,57,578,3
2747,18349,93,25,54,301,28
2733,2361,90,6,5,11,2
2749,7136,353,26,81,5,15
2740,19032,235,36,79,313,14
2742,41722,16,3,34,380,2
2748,39656,5549,92,726,59,11
2756,1143,29,4,4,2,0
2751,860,93,12,0,2,1
2757,3534,130,11,10,3,4
2745,7723,142,20,11,40,4
2752,626,11,1,0,2,3
2750,600,81,2,3,1,1
2762,10411,10,18,37,348,2
2744,5926,37,10,4,25,1
2765,2897,21,6,16,25,0
2753,2990,73,4,11,2,2
2761,35664,76,8,46,467,5
2771,5233,24,6,19,72,1
2760,19697,88,7,89,415,4
2767,55702,5365,87,963,85,28
2775,525,12,6,6,1,1
2782,505,21,6,6,4,1
2779,12506,140,26,64,3,2
2781,1623,82,6,11,17,1
2770,1929,108,14,12,3,3
2784,957,12,3,10,2,2
2788,9109,100,49,303,12,7
2783,6470,29,9,63,21,6
2774,6618,6,8,15,21,1
2777,462,4,3,6,1,4
2786,--,81,24,16,1,3
2778,608,5,2,3,1,0
2780,3310,192,3,4,2,1
2787,1016,54,3,28,3,5
2799,7587,360,58,247,23,5
2795,7583,455,15,59,27,5
2791,3448,78,15,12,11,6
2792,2190,36,10,13,4,2
2802,4061,223,48,101,13,3
2794,3172,40,1,12,52,5
2801,1746,26,7,5,1,3
2797,2816,213,23,22,1,3
2803,3438,185,18,18,1,2
2807,2013,154,20,26,3,2
2804,1744,19,14,12,8,0
2806,1329,12,6,14,1,2
2798,914,31,8,2,1,1
2805,2041,22,22,22,3,3
2816,631,2,4,5,2,3
2808,637,9,4,5,1,2
2817,1232,68,12,23,6,6
2820,2006,39,5,14,3,1
2813,26880,580,41,1114,38,22
2810,55508,4159,359,1212,142,8
2822,1968,31,8,5,1,6
2819,780,5,13,9,5,1
2823,798,4,3,1,1,4
2828,2754,27,17,27,3,1
2836,1834,16,11,24,2,2
2831,846,33,14,6,1,1
2826,16578,511,13,17,33,5
2835,1740,14,4,17,2,5
2838,5540,291,29,130,8,2
2829,2272,103,7,22,1,1
2839,8305,320,63,206,11,3
2842,1238,47,2,9,1,2
2832,951,117,9,7,3,2
2844,4772,194,18,52,112,1
2843,6390,105,25,71,73,11
2848,376026,7611,512,7243,230,27
2834,4067,42,4,12,4,2
2837,2228,455,12,39,2,0
2833,3890,149,10,59,2,2
2841,1071,22,5,3,2,1
2855,1122,19,5,2,1,0
2846,2263,126,33,21,8,3
2860,9509,2988,24,221,13,17
2861,7874,667,25,76,3,4
2859,4005,53,9,18,1,1
2850,3153,122,37,45,7,7
2849,2889,98,26,38,5,2
2857,2644,96,9,16,1,2
2864,7215,238,43,252,7,3
2852,7188,890,88,45,4,1
2854,1911,42,18,5,1,0
2853,1408,19,6,14,1,4
2858,5928,99,40,132,12,3
2862,1754,39,9,2,2,1
2873,1846,124,2,4,1,6
2872,3628,16,9,17,2,3
2870,4684,115,32,13,1,2
2868,2310,128,6,6,2,3
2878,5276,253,37,68,5,2
2880,3923,52,15,8,1,2
2869,3098,258,26,3,2,3
2876,4161,189,10,35,8,3
2867,1022,29,6,3,1,2
2881,--,567,187,623,102,40
2871,756,59,10,4,2,0
2877,788,7,5,7,1,0
2879,--,2291,322,493,32,11
2882,3943,626,22,12,5,1
2885,1242,123,10,1,2,1
2883,1132,9,5,5,1,0
2895,468,7,4,3,1,2
2889,737,6,6,5,1,2
2886,1392,10,3,9,1,4
2888,710,8,5,3,1,0
2897,613,8,6,9,1,1
2887,7729,650,18,48,4,1
2894,8648,14,2,32,105,2
2899,652,12,9,19,1,1
2896,1004,5,7,6,1,3
2891,7741,58,7,44,3,1
2904,31380,727,170,2132,86,311
2902,4575,444,30,40,7,2
2913,666,19,11,1,2,1
2900,665,3,7,3,10,1
2908,4898,316,45,49,1,0
2909,4791,116,10,38,5,9
2918,1526,27,12,13,3,1
2921,64136,1254,56,688,28,35
2910,21798,213,53,173,48,0
2912,1903,9,12,9,1,2
2927,1954,53,9,7,28,1
2924,1726,57,12,29,5,4
2929,3595,237,30,49,1,1
2922,950,4,2,1,4,2
2928,977,50,4,3,2,1
2925,3309,24,8,36,60,5
2923,2158,108,10,7,16,0
2919,63323,1537,37,632,32,6
2935,1515,15,1,3,1,0
2940,830,12,5,10,3,0
2937,5691,171,28,213,18,8
2936,1333,27,10,26,3,1
2941,1256,41,5,15,8,0
2933,2650,45,23,14,3,6
2926,769,12,11,3,2,4
2948,2765,13,4,33,2,1
2946,435,26,6,1,1,4
2950,145817,5259,122,2153,148,52
